instance_id,p,optimized_expected_qubo_energy,feasible_probability,optimal_probability,best_sampled_feasible_score,classical_optimal_score,absolute_optimization_gap,ideal_circuit_depth,runtime_s
reference_3x3,1,39.226215,0.003583,0.00074,2.7,2.7,0.0,21,1.676498
reference_3x3,2,15.257437,0.089024,0.021687,2.7,2.7,0.0,41,1.119079
reference_3x3,3,21.386914,0.118618,0.041527,2.7,2.7,0.0,61,1.650187
one_to_one_4x4,1,42.06253,0.002523,2.9e-05,2.8,3.08,0.28,33,12.776456
one_to_one_4x4,2,83.253245,0.039986,0.001629,3.08,3.08,0.0,59,15.722948
one_to_one_4x4,3,87.475826,0.000978,9.2e-05,2.8,3.08,0.28,85,16.66013
exact_capacity_4x2,1,18.344321,0.091582,0.02338,3.25,3.25,0.0,21,0.297405
exact_capacity_4x2,2,8.953983,0.348893,0.054127,3.25,3.25,0.0,38,0.358492
exact_capacity_4x2,3,7.934315,0.439911,0.061093,3.25,3.25,0.0,55,0.452604
