algorithm,instance_id,shots_observed,minimum_qubo_energy_found,theoretical_minimum_qubo_energy,best_feasible_bitstring,best_feasible_score,theoretical_optimal_score,absolute_optimization_gap,relative_optimization_gap,execution_mode,execution_status,backend,job_id,shots_requested,execution_wall_time_s,resource_guard_passed,transpiled_depth,transpiled_size,transpiled_two_qubit_gates,transpile_runtime_s,execution_error
standard_qaoa,exact_capacity_4x2,1024,-3.25,-3.25,10011001,3.25,3.25,0.0,0.0,ibm_hardware,completed,ibm_marrakesh,d9vl8qfo3ppc73akfak0,1024,13.695772,True,143,293,63,0.023831,
gm_qaoa,exact_capacity_4x2,1024,-3.25,-3.25,10011001,3.25,3.25,0.0,0.0,ibm_hardware,completed,ibm_marrakesh,d9vl8qfo3ppc73akfak0,1024,13.695772,True,1357,2180,496,0.132162,
